SourceIPAddress,DestinationIPAddress,SourcePort,DestinationPort,Protocol,PacketLength,PacketType,TrafficType,Alerts_Warnings,SeverityLevel,LogSource,AttackType
41.104.42.189,149.178.187.26,5458,34828,0,1245,0,2,0,2,0,2
80.120.107.19,107.113.54.43,49438,28106,0,1318,1,0,0,0,0,1
25.199.88.50,193.93.214.180,61951,55049,0,1356,0,2,0,2,0,1
112.3.236.206,187.128.193.195,13211,48282,0,554,1,0,0,0,1,1
133.149.177.142,52.168.209.173,14963,55278,1,1350,0,2,0,1,1,1
13.132.154.179,62.81.101.56,22403,20603,1,1204,0,1,0,2,1,1
78.100.114.23,85.198.73.7,35934,47981,0,1291,0,0,0,1,0,2
78.243.221.67,104.223.107.97,34919,47281,2,364,1,1,0,2,0,0
47.186.95.177,158.196.255.173,14845,9028,1,113,1,0,0,1,1,2
168.119.11.67,193.2.194.66,5244,17304,0,124,1,2,0,0,1,2
221.216.215.34,20.88.75.170,62280,61103,1,849,1,1,0,0,1,1
65.203.253.110,154.24.150.171,44611,60211,0,456,0,2,0,1,0,1
155.58.86.100,131.41.146.175,22043,24823,2,830,1,2,0,1,1,0
40.16.137.118,132.46.9.54,43357,26045,1,135,0,2,0,2,1,1
39.104.52.104,49.100.181.229,12391,34705,1,777,0,2,0,0,0,2
76.240.183.74,10.235.95.253,2272,39268,1,1197,1,1,0,0,1,2
85.19.156.224,156.254.216.99,17659,2539,2,911,1,2,0,2,0,1
188.238.31.253,79.113.142.36,28178,21030,2,1011,1,0,0,2,1,2
218.146.170.16,189.166.219.254,58294,43529,2,1323,0,2,0,0,1,0
93.184.31.75,47.128.221.14,10698,36675,0,874,0,1,0,2,0,0
33.148.82.133,195.219.89.172,34192,62801,2,1217,0,0,0,0,0,1
102.34.127.39,67.255.78.91,7062,1041,1,1253,1,1,0,1,1,0
193.189.58.87,160.81.52.167,51403,41924,1,742,0,2,0,1,1,1
192.141.87.76,153.245.185.168,33363,20031,1,1019,0,2,0,0,0,0
131.250.55.93,5.158.59.215,23426,21665,1,437,0,2,0,2,1,0
37.158.19.174,89.227.239.142,50335,1802,0,662,1,0,0,0,0,0
200.5.137.192,108.86.137.250,5704,24374,2,416,1,1,0,1,0,1
213.253.86.203,150.195.142.21,6273,34508,1,1187,1,2,0,2,0,0
185.212.35.187,7.144.161.242,65521,45643,0,406,0,2,0,2,1,0
148.109.46.104,204.235.195.101,51623,7972,0,1411,0,0,0,0,1,2
99.14.189.142,217.75.82.37,30266,22421,1,328,0,0,0,2,0,0
76.183.91.169,143.7.54.36,22210,34947,2,1001,0,0,0,0,0,2
219.229.68.219,38.74.58.200,42357,11166,0,1149,0,2,0,0,0,0
147.186.45.174,170.201.186.62,41942,43446,2,1500,1,1,0,2,0,2
21.82.100.59,73.147.172.161,59242,52745,1,1032,0,2,0,0,1,0
107.61.223.15,132.229.117.145,50419,2188,0,873,0,0,0,0,1,2
90.243.82.180,148.30.222.215,47899,39554,2,1249,0,0,0,0,0,2
119.40.78.158,64.206.42.85,1381,55773,1,630,0,2,0,1,0,0
132.44.161.49,137.95.0.4,31225,14721,0,1095,1,0,0,1,0,0
173.220.243.25,177.16.19.202,43309,56466,1,64,0,0,0,1,0,0
123.16.131.105,19.189.143.225,34044,10584,1,232,1,2,0,2,1,1
71.249.108.167,50.8.2.40,29877,17890,0,1167,1,2,0,1,1,2
131.192.57.105,70.50.136.191,16382,13846,0,551,1,1,0,1,1,0
75.69.244.159,190.142.49.252,18874,23255,1,490,1,0,0,0,0,1
2.44.110.69,169.249.23.182,2395,8198,2,808,1,2,0,2,0,2
164.8.245.50,148.194.157.207,24151,22012,1,770,0,1,0,2,0,0
47.106.104.176,98.239.95.215,23382,16915,1,72,1,2,0,1,1,0
1.107.181.228,100.27.57.187,54232,11766,2,1011,0,1,0,0,1,2
89.194.143.63,190.120.108.23,47525,61376,1,937,0,2,0,1,1,0
40.72.149.99,161.217.21.10,39500,57718,2,862,1,0,0,0,1,2
141.58.29.117,191.203.108.227,7265,26207,0,1158,0,2,0,1,0,1
12.201.178.73,214.204.234.181,58242,58076,2,76,1,1,0,0,1,0
8.2.86.197,43.181.226.233,42481,37679,2,1199,1,2,0,0,1,0
193.28.240.98,67.93.107.200,25658,20998,2,789,0,1,0,2,1,1
221.126.235.165,25.123.69.206,12254,10840,2,401,0,1,0,1,0,0
209.167.93.110,179.190.142.240,34831,12196,0,547,0,1,0,0,0,2
19.110.130.249,205.149.52.157,42877,19760,0,409,1,1,0,2,0,2
81.175.177.182,23.172.254.253,58093,30243,1,931,0,0,0,0,1,2
192.108.246.71,174.194.85.105,59591,20586,1,723,1,1,0,2,0,2
39.247.13.250,48.225.197.21,39240,25287,1,924,0,2,0,2,0,1
146.115.54.39,133.87.65.73,3857,23527,0,1386,0,1,0,1,1,2
181.206.232.54,202.135.119.133,54747,8912,1,371,0,1,0,2,1,0
34.134.47.208,160.126.49.239,43029,22402,1,521,0,2,0,2,0,2
68.138.233.150,5.37.1.149,22056,27729,2,703,1,0,0,1,0,0
152.50.243.18,218.138.150.181,7999,60296,2,1423,1,1,0,0,1,0
161.33.136.148,175.52.151.40,50709,12081,1,941,1,0,0,2,0,2
122.176.81.252,23.155.181.178,6311,39498,2,733,1,0,0,1,0,1
75.8.235.195,39.34.100.102,32579,50859,2,735,0,1,0,2,0,1
1.87.109.191,108.217.85.61,39789,45863,0,1467,0,2,0,0,1,0
1.132.183.35,55.188.48.0,35723,48647,1,1081,0,1,0,1,1,2
51.90.203.127,111.148.35.173,48680,39087,2,1022,1,1,0,0,0,2
52.130.172.3,57.200.92.101,42991,41971,2,567,1,0,0,0,0,2
86.42.238.196,104.6.19.125,48406,25862,0,1470,0,1,0,2,0,2
142.93.31.209,3.8.227.153,45987,17963,0,651,0,1,0,0,1,1
198.29.216.94,82.192.139.28,59402,45982,1,1391,1,2,0,0,0,0
68.242.31.97,89.202.157.130,1201,43685,2,94,1,1,0,1,1,2
155.231.0.229,220.100.237.47,33160,51014,0,490,1,0,0,1,0,1
53.228.184.243,102.223.11.100,62307,12887,1,1345,1,1,0,1,1,2
175.11.107.13,159.106.109.19,21851,1744,1,816,0,0,0,2,1,2
82.25.62.88,54.51.6.225,47938,19232,1,1491,0,0,0,2,1,2
176.149.114.235,110.23.59.218,5023,49354,0,1352,1,0,0,0,1,2
175.145.239.241,213.180.204.24,12747,42163,2,761,0,2,0,1,0,1
55.66.20.48,79.37.84.91,39067,51189,1,679,1,0,0,1,0,2
38.16.39.214,219.203.104.182,47974,23766,0,770,1,0,0,0,0,2
60.141.91.212,142.108.209.166,55093,45008,1,448,0,0,0,0,1,0
6.160.47.12,118.199.189.154,48631,59460,2,230,0,2,0,0,0,1
137.126.255.68,6.140.17.154,61470,8873,2,506,0,2,0,0,0,2
147.160.56.142,157.149.135.157,29656,61771,2,711,1,2,0,2,1,0
133.75.50.75,50.240.166.233,23688,25933,2,958,0,0,0,1,1,0
53.140.109.44,2.93.211.229,35985,34103,2,850,0,0,0,1,1,1
24.241.63.13,100.2.234.212,36762,36247,2,1312,0,1,0,1,1,0
162.93.157.0,134.220.213.195,64790,38563,0,132,0,1,0,0,1,1
109.164.233.191,103.113.23.174,7808,47173,0,958,0,2,0,2,1,2
104.81.206.84,39.14.66.246,64443,46860,2,770,1,0,0,1,1,0
221.23.80.114,205.133.193.78,9326,6566,0,719,1,0,0,1,1,2
67.121.116.99,106.216.75.58,54301,57322,0,1019,0,1,0,1,1,1
109.13.143.142,142.0.26.95,6610,6091,1,534,0,0,0,1,0,0
210.19.241.217,138.126.42.216,14331,24388,1,441,1,0,0,2,0,1
38.153.220.93,131.65.85.203,55977,11261,0,1398,1,0,0,1,1,0
216.138.155.159,143.164.236.179,58684,46166,1,378,0,1,0,1,0,2
45.223.155.166,154.68.190.253,9884,17473,0,772,0,1,0,0,1,2
5.15.19.214,37.136.213.217,30725,34066,0,762,0,0,0,2,1,0
172.37.74.31,47.250.72.158,5140,57595,1,1360,0,2,0,1,0,2
86.54.12.239,180.251.27.80,10076,12830,0,262,1,0,0,1,0,0
212.174.21.164,112.220.60.164,55334,56980,1,95,0,1,0,2,1,2
138.214.106.131,2.9.78.174,51563,14690,1,794,0,0,0,2,0,2
101.250.15.127,71.42.8.233,55794,44131,1,807,1,2,0,2,0,1
178.49.207.153,133.236.210.74,45595,42546,2,739,1,1,0,2,1,0
130.238.174.61,159.185.232.33,10429,47136,1,814,1,0,0,0,0,1
15.165.48.241,31.148.125.173,16025,13018,0,1325,0,0,0,0,1,1
164.96.136.112,216.100.29.62,52342,23280,0,1091,1,0,0,1,1,1
134.112.81.239,159.98.106.9,2529,42606,0,1267,0,1,0,2,1,1
18.76.213.45,100.199.137.15,16348,46862,0,1124,0,0,0,0,1,2
125.87.144.189,65.54.78.68,4291,56176,1,557,0,2,0,2,0,0
105.15.105.203,166.107.159.85,25175,33787,1,1396,1,1,0,0,0,2
145.233.126.177,3.89.121.172,39708,18566,0,128,0,1,0,2,1,1
173.114.203.167,156.141.155.223,1809,8022,0,1065,1,2,0,1,1,0
197.12.235.232,199.198.28.18,39689,35785,1,1205,1,0,0,0,0,2
26.128.121.228,55.165.140.18,45630,52885,2,197,1,1,0,2,1,2
204.202.115.185,123.63.112.62,1634,49231,1,64,1,1,0,2,0,2
214.181.197.110,171.74.84.178,33578,7750,0,98,0,0,0,0,0,2
37.51.139.28,67.68.130.51,7572,7947,0,545,1,1,0,1,1,2
214.44.41.179,107.19.253.222,5548,3877,0,1334,1,1,0,2,0,0
196.228.140.60,19.163.189.133,61878,55612,1,156,0,1,0,1,1,1
150.129.170.96,10.225.245.56,26449,23205,2,80,1,1,0,2,1,2
32.255.200.118,172.152.241.230,31676,58636,1,155,1,0,0,0,1,2
202.18.98.154,178.39.70.46,45577,4579,2,504,0,2,0,2,1,2
34.133.1.203,202.20.26.93,61714,23342,1,1150,0,2,0,0,1,1
168.121.252.139,55.132.198.163,31608,21970,1,423,0,0,0,0,0,0
219.5.242.107,8.177.171.110,17328,11009,2,1148,0,2,0,1,1,2
94.3.126.239,59.67.165.37,6168,60301,0,1073,1,2,0,2,1,2
69.29.94.188,182.195.148.55,44373,38310,0,374,0,2,0,1,0,0
82.27.159.135,72.95.199.199,50023,20086,2,1497,0,0,0,1,0,0
177.20.233.20,173.35.246.64,37238,44631,0,1306,1,2,0,0,1,0
182.8.175.64,108.100.46.102,28248,6500,2,152,0,0,0,0,1,1
180.1.83.233,90.216.142.139,13885,49950,1,1085,0,0,0,1,1,1
213.39.91.206,32.148.252.136,54370,23658,0,1278,0,0,0,0,1,2
125.112.119.186,203.216.8.136,41562,49724,1,383,1,0,0,2,0,0
2.230.158.53,184.116.170.11,2099,24203,0,960,1,2,0,1,0,0
80.251.169.21,96.45.54.67,36490,37887,0,945,0,1,0,1,0,1
168.181.247.14,40.228.225.166,31757,4310,2,781,1,2,0,0,1,2
76.188.115.125,23.104.14.162,52350,20112,0,557,0,0,0,1,1,1
136.77.141.144,101.179.185.240,46904,53968,0,299,1,2,0,1,0,2
223.0.112.215,201.214.17.140,57932,17541,2,318,0,0,0,2,0,1
126.155.144.194,115.62.137.153,12924,23741,0,288,1,1,0,0,1,0
50.221.55.18,220.23.250.188,25684,23116,1,1259,0,1,0,1,0,1
106.94.148.164,169.138.125.26,55706,34275,0,999,1,2,0,2,0,0
160.215.141.63,63.158.191.217,23320,50643,1,752,0,1,0,2,1,1
52.84.206.105,46.165.234.5,55447,2593,0,1012,0,0,0,1,0,0
117.71.85.98,57.149.34.23,35555,1796,1,1096,1,1,0,0,0,1
88.35.84.213,102.105.5.123,26217,47715,1,917,0,2,0,1,0,2
132.195.252.195,37.229.237.102,65126,1412,0,1347,0,1,0,2,0,0
163.217.200.154,9.87.181.45,42242,8669,1,107,0,2,0,2,1,2
107.247.7.147,145.28.185.16,61627,64516,2,1098,1,2,0,2,0,1
41.105.74.142,29.85.163.29,14983,6145,0,1256,1,2,0,0,1,2
135.103.122.30,209.230.83.230,61854,49090,2,1263,1,1,0,0,0,2
115.42.153.33,41.244.145.193,63860,28520,1,1298,0,1,0,0,0,1
126.95.216.101,129.71.113.58,9640,25936,2,376,1,1,0,1,1,2
55.209.164.59,94.131.230.23,3481,36272,0,388,1,1,0,1,0,2
85.192.4.180,18.191.58.128,42390,31000,2,550,0,2,0,0,1,2
16.242.187.81,124.170.100.32,34579,56943,0,392,0,0,0,0,0,1
128.30.16.159,113.103.247.229,39968,6532,0,1070,1,0,0,0,1,0
77.205.239.200,13.55.159.198,27845,50073,1,1070,0,1,0,0,0,0
22.96.234.215,184.178.30.59,46601,10564,2,1368,1,1,0,2,1,0
221.82.145.216,163.146.21.179,51504,46249,2,336,0,0,0,2,1,1
178.97.222.108,48.172.174.246,46395,62143,0,339,1,2,0,1,1,1
154.191.219.115,173.188.203.101,38988,33076,0,1198,0,0,0,2,1,0
72.70.248.73,158.102.99.181,63330,61540,2,542,0,2,0,0,1,0
43.159.157.228,188.81.127.222,61919,38313,1,1328,0,0,0,1,0,0
91.217.11.71,92.174.165.242,45071,38659,1,938,1,2,0,1,0,2
189.197.186.105,13.83.162.167,10974,22286,1,173,0,1,0,1,0,1
157.106.20.60,14.24.229.5,30519,58931,1,1051,0,2,0,2,1,1
57.210.48.209,57.213.156.229,32258,33105,1,80,1,1,0,0,0,0
7.61.251.229,180.23.30.136,61807,59152,0,389,0,1,0,2,1,0
132.113.93.53,16.140.181.75,64641,63297,1,861,1,0,0,0,0,2
180.91.150.215,39.181.48.77,60226,42187,1,859,0,1,0,2,0,0
199.167.131.44,121.247.93.19,62550,61069,2,1367,0,0,0,2,1,1
63.229.58.168,65.72.99.127,24568,58580,1,109,0,2,0,1,0,1
109.133.151.131,146.233.143.117,20119,9285,2,481,0,0,0,0,1,0
123.9.250.35,69.162.66.103,20126,13682,1,496,1,2,0,0,0,1
191.250.209.92,107.49.195.165,46007,32095,1,1424,1,0,0,1,1,2
76.160.122.1,169.44.208.253,22894,53591,0,775,0,0,0,1,0,0
48.222.174.163,182.75.72.21,2966,44343,1,1213,0,1,0,2,0,1
162.229.215.12,166.11.74.75,6728,52291,0,972,0,0,0,1,1,0
108.33.42.157,155.77.57.112,4134,61241,0,639,1,0,0,0,0,1
103.74.218.199,211.127.144.253,18594,35539,1,813,1,2,0,0,1,0
146.167.135.94,110.92.54.123,52596,8891,0,955,0,2,0,0,1,1
161.143.14.151,57.151.5.107,48124,58922,1,117,1,1,0,1,0,0
10.178.115.47,106.120.216.248,7958,65195,2,189,0,0,0,1,1,2
45.233.143.111,84.199.51.19,36731,33661,0,241,1,1,0,1,1,0
61.197.153.238,9.168.145.6,17019,13933,0,1179,0,1,0,1,0,2
152.64.203.5,203.70.243.24,61248,4775,1,906,1,0,0,1,1,2
118.84.250.149,193.178.24.234,37157,14359,2,217,0,0,0,1,1,0
97.236.113.157,217.106.141.237,52708,55191,1,177,0,1,0,0,1,0
74.60.238.129,133.99.215.150,27947,30330,0,851,1,2,0,0,1,1
36.76.241.121,213.64.78.86,35080,51197,0,860,0,0,0,0,0,0
149.45.56.107,147.82.176.114,6256,18233,2,1071,1,1,0,1,1,1
42.232.107.30,128.250.148.108,10687,12474,0,950,0,0,0,0,0,0
101.146.214.228,66.159.169.40,15361,15238,2,1426,1,2,0,0,0,0
5.213.234.25,56.175.221.21,33378,7505,1,78,1,1,0,0,1,1
94.134.149.4,61.74.227.121,64216,18700,1,67,1,0,0,0,0,0
150.53.179.49,173.90.86.117,62036,62107,2,1071,1,0,0,1,1,2
167.3.184.203,25.170.35.21,37558,27037,1,1109,1,0,0,0,0,1
121.162.97.250,190.89.166.131,45046,28011,2,1138,0,0,0,1,1,2
19.104.238.113,185.248.2.13,34220,12628,1,1002,0,0,0,2,0,2
94.35.61.173,125.48.147.74,55340,51828,0,646,0,2,0,2,1,1
49.62.180.198,79.8.50.235,5121,13289,0,1122,0,0,0,2,0,1
90.73.0.204,52.148.113.151,25383,32726,1,1190,1,0,0,1,0,0
89.136.75.163,179.75.55.195,16999,21066,2,532,1,1,0,0,0,2
118.204.233.243,68.203.74.224,31722,2133,1,225,1,1,0,0,1,2
145.44.52.46,218.197.179.79,58111,3761,2,1478,0,1,0,2,1,2
27.109.206.93,168.205.137.135,5257,61649,1,240,0,0,0,2,0,2
156.5.217.101,198.254.252.176,52066,28473,1,1295,0,2,0,2,0,0
141.134.185.1,186.246.29.151,45272,21296,0,1495,0,1,0,2,0,1
45.167.75.38,120.61.152.144,27181,5267,0,978,1,0,0,2,1,2
194.110.46.135,155.2.162.109,52989,43419,0,1095,1,2,0,0,0,2
183.78.218.132,217.3.200.231,26198,54375,0,692,0,2,0,0,1,0
220.135.91.20,20.66.31.241,36784,27570,2,111,0,1,0,1,1,0
14.92.117.229,216.47.243.98,59087,53596,2,1155,0,0,0,1,0,0
20.5.238.101,45.19.133.181,25687,52121,0,1213,1,0,0,2,1,2
116.157.79.17,29.63.69.37,15725,33281,2,1399,1,0,0,0,0,0
122.246.222.173,17.76.30.48,8385,43630,2,1119,1,1,0,2,0,0
214.129.215.167,102.10.122.249,14564,54859,0,1350,1,1,0,1,0,1
164.83.171.236,11.228.95.93,10517,8528,2,1252,1,1,0,1,1,2
10.151.155.196,130.93.10.158,35272,29714,1,1466,0,0,0,1,1,0
172.210.33.191,178.64.28.233,13482,6056,1,1194,0,2,0,2,0,2
143.151.14.54,189.115.91.58,52345,65463,0,180,0,2,0,1,0,2
103.149.193.196,10.85.205.246,60472,56473,2,976,1,0,0,2,0,2
179.240.118.228,28.36.187.92,11802,55321,1,385,0,2,0,0,1,1
10.99.176.175,218.154.144.129,35111,15372,1,1339,1,1,0,2,1,2
219.239.128.78,96.254.69.90,5278,37362,1,127,1,1,0,2,0,0
52.107.116.219,186.104.116.13,35497,52122,1,78,0,2,0,1,1,2
119.31.253.118,7.122.211.96,64646,48290,2,1332,0,1,0,2,1,0
112.204.195.53,95.158.130.254,52354,60476,0,477,1,0,0,0,0,2
89.198.189.174,80.32.146.18,27325,4728,2,1222,0,0,0,0,1,1
101.9.90.76,32.97.158.140,24155,34492,2,1344,1,2,0,1,1,2
2.6.175.20,40.55.200.185,57097,47547,2,129,0,2,0,0,1,0
143.119.135.182,3.148.249.84,30726,64805,1,854,0,1,0,0,1,0
201.170.105.143,67.170.210.85,18839,2269,2,244,0,1,0,1,0,2
215.251.43.114,52.165.99.9,63859,62221,1,630,0,0,0,2,1,0
158.211.11.163,141.124.47.164,59184,17881,2,130,1,1,0,1,1,1
218.217.91.99,132.76.205.179,19971,14164,1,1395,0,2,0,1,1,2
106.243.96.199,132.182.169.7,61143,18410,0,1189,1,2,0,1,0,1
176.252.206.75,201.78.192.88,8078,10759,1,109,1,0,0,1,0,2
62.63.239.193,150.174.37.19,62038,26585,0,706,1,2,0,1,0,1
24.255.201.136,173.7.101.247,15549,19269,2,183,0,0,0,1,1,2
106.120.163.64,117.12.216.156,9447,59620,2,393,0,0,0,2,0,0
31.212.2.152,77.198.211.162,50639,20083,0,1291,0,0,0,2,0,1
97.109.41.110,74.65.109.172,63528,33950,1,293,1,1,0,2,1,2
82.185.215.27,223.22.69.103,18110,36245,2,284,0,0,0,1,0,1
56.192.65.103,52.13.88.211,21713,24694,2,1498,1,1,0,2,1,1
186.103.149.253,76.175.195.179,8678,48386,0,421,0,2,0,1,0,2
192.131.73.182,147.176.32.126,49561,11063,1,122,1,0,0,2,0,2
5.236.139.91,146.153.74.29,22783,35634,2,1201,1,0,0,1,0,2
155.209.124.69,159.107.22.121,46534,39543,2,1000,0,0,0,1,1,0
157.143.76.217,213.65.232.103,10167,56371,0,239,0,1,0,2,1,1
7.11.184.45,62.75.215.104,13605,8468,2,999,0,0,0,2,1,0
170.30.252.127,202.167.68.121,45782,43612,1,741,0,1,0,1,1,0
12.54.80.174,31.219.214.70,21550,54531,1,565,0,0,0,2,1,0
5.55.213.206,84.121.14.22,42239,20291,1,735,0,0,0,0,1,0
113.159.191.135,163.0.194.167,63250,54448,1,135,1,1,0,2,0,1
187.165.232.245,114.251.85.35,40871,22869,0,963,0,0,0,2,1,2
207.138.17.239,184.47.54.93,52884,32361,2,829,0,1,0,0,0,0
120.27.174.18,118.17.49.183,9487,5094,0,576,0,1,0,2,1,1
42.72.149.121,218.25.125.35,57388,17189,1,675,1,1,0,2,0,0
60.211.226.12,22.206.134.117,13962,45307,0,1329,0,0,0,2,1,1
42.164.208.37,78.194.114.22,13485,26596,1,582,1,1,0,0,1,2
208.29.252.154,98.123.182.187,56244,5322,2,729,1,2,0,0,0,2
23.127.163.108,139.233.51.6,51256,30613,1,600,0,1,0,2,0,0
160.133.92.128,158.39.126.121,59641,10252,0,784,1,0,0,0,1,2
132.47.203.21,207.147.60.177,3459,21034,1,642,1,0,0,2,0,0
80.11.19.142,45.5.177.147,2257,52796,1,1155,0,2,0,1,1,1
211.128.110.116,146.96.10.207,39178,53490,2,859,1,1,0,1,1,2
219.135.145.218,116.133.12.228,17179,51717,0,1092,0,1,0,1,1,1
45.180.145.85,91.82.161.80,49392,17896,1,1216,0,1,0,1,1,2
88.144.104.156,133.34.129.22,57725,34478,2,464,1,1,0,0,0,2
217.189.250.231,110.198.19.71,44450,61997,0,274,0,0,0,0,1,2
64.212.168.116,174.33.213.249,28730,52147,0,1311,1,1,0,0,0,2
44.119.34.166,64.156.131.207,2184,35967,1,1223,0,2,0,1,0,0
89.29.35.219,5.164.27.219,11996,16751,2,455,1,2,0,1,0,0
48.203.227.115,107.244.12.208,22375,29189,0,1039,0,2,0,1,1,0
220.166.188.54,81.245.193.202,5319,50017,1,428,1,0,0,2,1,1
75.170.2.44,96.226.86.135,51711,48840,2,983,0,1,0,2,0,2
14.161.89.18,73.230.206.171,64932,57455,1,1379,0,2,0,1,0,2
54.211.136.238,93.139.104.144,64000,12263,1,1154,0,1,0,2,1,1
43.4.118.138,154.155.206.225,15095,13333,0,548,1,1,0,1,0,0
219.94.190.230,8.50.207.64,35581,49881,0,711,0,1,0,0,0,2
32.32.229.218,58.230.77.236,28637,16994,2,1123,1,2,0,1,0,2
48.91.92.58,34.163.241.204,53846,34479,2,1287,1,2,0,1,1,2
148.244.125.164,108.44.46.241,26451,6096,1,1237,0,2,0,0,0,0
220.153.30.95,207.94.176.169,26416,37125,1,788,1,2,0,2,1,1
155.70.26.79,174.51.145.173,1309,33401,0,250,0,2,0,1,1,0
140.235.119.83,198.144.193.117,37188,46032,2,1463,0,1,0,1,0,2
58.65.5.5,56.193.234.159,11309,46161,2,1334,0,1,0,1,0,0
80.33.158.240,53.241.78.39,29746,49928,2,510,1,0,0,0,1,1
